feature,importance
amount_category_encoded,0.09365092
total_spent,0.089071445
avg_customer_rating,0.068435125
avg_purchase_interest,0.06541608
transaction_count,0.057981275
purchase_month,0.056317292
customer_rating,0.055089463
max_purchase_interest,0.050991602
amount_rating_interaction,0.048961055
purchase_dayofweek,0.046744898
avg_purchase_amount,0.045567434
avg_engagement_score,0.045514774
purchase_amount,0.044910792
purchase_interest_score,0.044346265
std_purchase_amount,0.038430944
platform_encoded,0.037968304
max_engagement_score,0.031445004
engagement_score,0.029319812
sentiment_encoded,0.02532888
engagement_interest_interaction,0.024508636
purchase_quarter,0.0
is_weekend,0.0
amount_per_transaction,0.0
