feature,importance,importance_normalized
mfcc_std_6,0.650272314550699,0.04657678747450735
mfcc_5,0.5968232639003148,0.042748414318905276
mfcc_3,0.5839697725279157,0.04182776258183833
energy_std,0.5656064317759792,0.040512459130674375
energy_mean,0.5001443907295512,0.03582363645555611
mfcc_std_5,0.4621033727747108,0.03309888811713
mfcc_8,0.40729325503463,0.029173026369200036
mfcc_std_9,0.38107258963854984,0.027294929559193253
mfcc_7,0.3757763474223884,0.026915577797483842
mfcc_std_8,0.3596222182142277,0.02575851263243202
mfcc_10,0.35601401099248087,0.025500069058608025
mfcc_9,0.3549027389244987,0.025420472431504925
chroma_2,0.3493980720485383,0.02502619192245893
mfcc_2,0.33878530428865306,0.024266035573483783
chroma_3,0.3123536761203731,0.022372828219807964
mfcc_std_3,0.3023847068946099,0.021658784963500648
chroma_5,0.29113787319397105,0.020853212634317716
spectral_rolloff_mean,0.28828437614220537,0.020648826375260918
chroma_10,0.2839174147049431,0.02033603582548444
mfcc_1,0.2823600536075984,0.02022448736304958
mfcc_std_2,0.27850616761079316,0.01994844665670611
spectral_centroid_mean,0.2773563892119576,0.019866091952489087
chroma_1,0.27295965189154126,0.019551168657783294
chroma_6,0.2636417635988588,0.018883760107537177
chroma_7,0.25547247788543637,0.018298622041563215
chroma_0,0.2540980133194596,0.01820017383371513
mfcc_4,0.23644464057909872,0.01693572296915054
mfcc_std_1,0.23643384525533018,0.016934949736937457
mfcc_std_7,0.23620026593271193,0.016918219246918755
spectral_bandwidth_std,0.22987094165618566,0.016464871341605125
chroma_11,0.22716385899522595,0.016270972245866194
mfcc_std_12,0.226931400101452,0.01625432200834324
mfcc_std_0,0.222337178307973,0.015925253574554127
spectral_bandwidth_mean,0.2187084116184182,0.01566533739619007
mfcc_11,0.21532463025877094,0.015422968681235036
mfcc_0,0.2013668006817131,0.014423216966039832
chroma_8,0.19328559088252695,0.01384438747732991
zcr_std,0.18714097851357336,0.013404269855807416
chroma_4,0.17405304136269995,0.012466825567444724
mfcc_6,0.16961767109374645,0.01214913512643228
spectral_contrast_std,0.16268060275579505,0.011652256587329558
zcr_mean,0.16076774530393614,0.011515245133803632
mfcc_12,0.15815817506553814,0.01132833052022725
spectral_centroid_std,0.15765967987062607,0.011292625010041836
spectral_contrast_mean,0.143808186799109,0.010300489815969444
mfcc_std_4,0.12770180971265968,0.009146844972488511
mfcc_std_10,0.12395478822541098,0.008878458606394204
mfcc_std_11,0.11468882610221584,0.008214769350521315
spectral_rolloff_std,0.10267835497950475,0.007354500277959398
chroma_9,0.09006188363955564,0.006450825477218349
